StockCode,Description,ABC,DailyDemand,AnnualDemand,AvgUnitPrice,EOQ,SafetyStock,ReorderPoint,MaxStock,OverstockRisk,StockoutRisk,SlowMoving
23245,SET OF 3 REGENCY CAKE TINS,A,31.65,11553.73,4.93,1012.61,273.0,517.81,1530.42,False,False,False
23199,JUMBO BAG APPLES,A,57.38,20945.27,2.06,2108.91,476.0,918.46,3027.37,False,False,False
21175,GIN + TONIC DIET METAL SIGN,A,32.15,11735.78,2.47,1443.6,791.0,1062.82,2506.42,False,False,False
22727,ALARM CLOCK BAKELIKE RED ,A,19.31,7047.23,3.77,904.86,271.0,424.71,1329.57,False,False,False
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,A,25.22,9206.0,2.94,1171.62,297.0,495.84,1667.46,False,False,False
20685,DOORMAT RED RETROSPOT,A,10.43,3807.13,7.76,463.42,163.0,246.88,710.29,False,False,False
22699,ROSES REGENCY TEACUP AND SAUCER ,A,24.48,8936.14,2.92,1156.97,270.0,461.32,1618.29,False,False,False
22629,SPACEBOY LUNCH BOX ,A,37.22,13584.05,1.93,1754.29,361.0,650.67,2404.95,False,False,False
23355,HOT WATER BOTTLE KEEP CALM,A,48.97,17874.95,4.87,1267.86,230.0,599.41,1867.26,False,False,False
22457,NATURAL SLATE HEART CHALKBOARD ,A,22.73,8298.12,2.98,1104.67,193.0,368.22,1472.89,False,False,False
23201,JUMBO BAG ALPHABET,A,51.82,18913.64,2.06,2005.35,383.0,780.38,2785.73,False,False,False
21181,PLEASE ONE PERSON METAL SIGN,A,32.07,11706.42,2.07,1572.27,388.0,641.25,2213.52,False,False,False
21915,RED  HARMONICA IN BOX ,A,56.38,20580.31,1.26,2672.75,1006.0,1465.57,4138.32,False,False,False
48138,DOORMAT UNION FLAG,A,9.72,3547.25,7.79,446.68,184.0,263.61,710.29,False,False,False
85099C,JUMBO  BAG BAROQUE BLACK WHITE,A,34.21,12485.15,2.01,1647.58,291.0,554.43,2202.01,False,False,False
22112,CHOCOLATE HOT WATER BOTTLE,A,13.8,5035.83,4.87,672.63,134.0,241.65,914.28,False,False,False
23173,REGENCY TEAPOT ROSES ,A,12.52,4568.5,9.71,454.0,244.0,347.3,801.3,False,False,False
22138,BAKING SET 9 PIECE RETROSPOT ,A,13.59,4960.07,4.99,660.08,145.0,251.06,911.14,False,False,False
48187,DOORMAT NEW ENGLAND,A,9.95,3631.46,7.82,450.86,229.0,312.78,763.64,False,False,False
22189,CREAM HEART CARD HOLDER,A,21.97,8019.24,3.88,951.94,697.0,890.22,1842.16,False,False,False
21623,VINTAGE UNION JACK MEMOBOARD,A,8.77,3202.36,9.77,378.68,533.0,621.37,1000.06,False,False,False
21733,RED HANGING HEART T-LIGHT HOLDER,A,20.8,7592.59,2.95,1061.78,340.0,508.4,1570.17,False,False,False
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,A,21.66,7905.08,2.94,1085.84,212.0,380.78,1466.61,False,False,False
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,A,25.21,9199.97,4.89,908.0,580.0,790.84,1698.84,False,False,False
21931,JUMBO STORAGE BAG SUKI,A,30.79,11238.88,2.03,1557.62,209.0,444.59,2002.21,False,False,False
48185,DOORMAT FAIRY CAKE,A,9.19,3355.46,7.91,430.99,387.0,471.78,902.77,False,False,False
22961,JAM MAKING SET PRINTED,A,40.36,14732.1,1.47,2093.22,323.0,633.93,2727.15,False,False,False
23202,JUMBO BAG VINTAGE LEAF,A,49.84,18192.28,2.08,1957.23,278.0,655.9,2613.12,False,False,False
21621,VINTAGE UNION JACK BUNTING,A,6.85,2498.92,8.51,358.81,109.0,164.24,523.04,False,False,False
22726,ALARM CLOCK BAKELIKE GREEN,A,15.08,5505.25,3.79,797.12,151.0,268.84,1065.96,False,False,False
22666,RECIPE BOX PANTRY YELLOW DESIGN,A,19.77,7214.87,2.96,1032.49,248.0,403.79,1436.28,False,False,False
23209,LUNCH BAG DOILEY PATTERN ,A,60.48,22076.56,1.65,2422.73,287.0,742.72,3165.46,False,False,False
15056N,EDWARDIAN PARASOL NATURAL,A,10.23,3733.93,5.86,528.27,114.0,194.57,722.85,False,False,False
85066,CREAM SWEETHEART MINI CHEST,A,4.58,1672.92,12.65,240.6,66.0,102.52,343.12,False,False,False
22722,SET OF 6 SPICE TINS PANTRY DESIGN,A,14.92,5446.61,3.92,780.38,345.0,469.69,1250.07,False,False,False
22139,RETROSPOT TEA SET CERAMIC 11 PC ,A,11.36,4145.78,5.0,602.55,72.0,159.01,761.55,False,False,False
21166,COOK WITH WINE METAL SIGN ,A,27.37,9990.04,2.04,1464.52,315.0,530.37,1994.89,False,False,False
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,A,28.12,10264.89,2.04,1485.44,208.0,423.66,1909.11,False,False,False
22630,DOLLY GIRL LUNCH BOX,A,30.39,11092.87,1.95,1577.5,353.0,592.08,2169.58,False,False,False
22111,SCOTTIE DOG HOT WATER BOTTLE,A,11.39,4156.51,4.9,608.82,206.0,299.18,908.0,False,False,False
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,A,17.88,6526.83,3.54,898.59,466.0,618.24,1516.82,False,False,False
82482,WOODEN PICTURE FRAME WHITE FINISH,A,22.19,8098.5,2.66,1154.88,163.0,332.66,1487.53,False,False,False
48194,DOORMAT HEARTS,A,8.77,3200.84,7.95,419.48,232.0,306.5,725.98,False,False,False
21731,RED TOADSTOOL LED NIGHT LIGHT,A,34.41,12561.27,1.66,1820.19,390.0,660.08,2480.27,False,False,False
22659,LUNCH BOX I LOVE LONDON,A,29.74,10856.06,1.93,1570.17,390.0,625.56,2195.73,False,False,False
84946,ANTIQUE SILVER TEA GLASS ETCHED,A,44.28,16163.02,1.24,2390.31,286.0,623.47,3013.77,False,False,False
21523,DOORMAT FANCY FONT HOME SWEET HOME,A,8.26,3013.69,7.87,409.02,203.0,273.03,682.05,False,False,False
20713,JUMBO BAG OWLS,A,27.98,10214.14,2.02,1487.53,435.0,660.08,2147.61,False,False,False
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,A,13.2,4816.43,4.09,718.66,209.0,314.87,1033.53,False,False,False
22090,PAPER BUNTING RETROSPOT,A,18.54,6767.75,2.9,1009.47,139.0,281.4,1290.87,False,False,False
22383,LUNCH BAG SUKI  DESIGN ,A,31.43,11470.59,1.65,1743.82,181.0,419.48,2163.31,False,False,False
22728,ALARM CLOCK BAKELIKE PINK,A,13.57,4951.9,3.79,756.32,227.0,336.84,1093.16,False,False,False
21929,JUMBO BAG PINK VINTAGE PAISLEY,A,26.44,9651.03,2.04,1438.37,262.0,467.6,1905.97,False,False,False
23206,LUNCH BAG APPLE DESIGN,A,47.79,17443.08,1.64,2157.03,286.0,649.62,2806.65,False,False,False
21928,JUMBO BAG SCANDINAVIAN PAISLEY,A,26.09,9521.4,2.03,1431.05,245.0,447.72,1878.77,False,False,False
20727,LUNCH BAG  BLACK SKULL.,A,30.19,11019.29,1.64,1712.44,169.0,397.51,2109.95,False,False,False
21843,RED RETROSPOT CAKE STAND,A,4.85,1770.2,10.86,266.75,90.0,129.71,396.47,False,False,False
22697,GREEN REGENCY TEACUP AND SAUCER,A,17.24,6292.09,2.94,967.63,120.0,252.11,1219.74,False,False,False
23344,JUMBO BAG 50'S CHRISTMAS ,A,50.59,18464.46,2.07,1976.06,335.0,720.75,2696.81,False,False,False
82494L,WOODEN FRAME ANTIQUE WHITE ,A,16.84,6147.27,2.93,958.21,104.0,232.23,1190.45,False,False,False
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,A,17.33,6325.04,2.93,972.86,445.0,592.08,1564.94,False,False,False
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,A,21.14,7716.72,2.61,1138.14,500.0,677.86,1816.0,False,False,False
82486,WOOD S/3 CABINET ANT WHITE FINISH,A,5.57,2034.83,8.68,320.1,35.0,77.41,397.51,False,False,False
22467,GUMBALL COAT RACK,A,20.61,7523.11,2.5,1147.56,174.0,332.66,1480.21,False,False,False
22969,HOMEMADE JAM SCENTED CANDLES,A,32.42,11832.65,1.45,1889.23,507.0,767.83,2657.06,False,False,False
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,A,26.96,9839.39,1.4,1753.24,1878.0,2162.26,3915.5,False,False,False
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,A,16.54,6037.67,2.95,945.66,157.0,285.58,1231.24,False,False,False
20728,LUNCH BAG CARS BLUE,A,29.09,10616.4,1.66,1674.78,188.0,410.07,2084.85,False,False,False
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,A,43.32,15810.05,1.24,2367.29,1356.0,1735.46,4102.75,False,False,False
23240,SET OF 4 KNICK KNACK TINS DOILEY ,A,22.18,8095.11,4.13,925.79,156.0,325.33,1251.12,False,False,False
21212,PACK OF 72 RETROSPOT CAKE CASES,A,90.33,32970.36,0.55,5131.05,811.0,1509.5,6640.55,False,False,False
22384,LUNCH BAG PINK POLKADOT,A,27.49,10034.08,1.65,1630.85,186.0,395.42,2026.27,False,False,False
22865,HAND WARMER OWL DESIGN,A,21.76,7940.95,2.11,1282.5,367.0,542.92,1825.42,False,False,False
15036,ASSORTED COLOURS SILK FAN,A,59.77,21816.23,0.81,3443.71,1118.0,1606.79,5050.5,False,False,False
22492,MINI PAINT SET VINTAGE ,A,69.91,25516.73,0.66,4124.72,896.0,1448.83,5573.54,False,False,False
